Name	Value	Access	
CANFD.RFB[0]_DF[4]	0xa048'2082	ReadWrite	
CANFD.RFB[0]_DF[5]	0x0000'0002	ReadWrite	
CANFD.RFB[0]_DF[6]	0x2001'200a	ReadWrite	
CANFD.RFB[0]_DF[7]	0xa428'208a	ReadWrite	
CANFD.RFB[0]_DF[8]	0x2000'0002	ReadWrite	
CANFD.RFB[0]_DF[9]	0x0000'2000	ReadWrite	
CANFD.RFB[0]_DF[10]	0x2000'2002	ReadWrite	
CANFD.RFB[0]_DF[11]	0xa028'208e	ReadWrite	
CANFD.RFB[0]_DF[12]	0xa028'2082	ReadWrite	
CANFD.RFB[0]_DF[13]	0x0000'0002	ReadWrite	
CANFD.RFB[0]_DF[14]	0x2028'200a	ReadWrite	
CANFD.RFB[0]_DF[15]	0xa428'208a	ReadWrite	
CANFD.RFB[0]_DATA[0]	0x02	ReadWrite	
CANFD.RFB[0]_DATA[1]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[2]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[3]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[4]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[5]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[6]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[7]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[8]	0x02	ReadWrite	
CANFD.RFB[0]_DATA[9]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[10]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[11]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[12]	0x8e	ReadWrite	
CANFD.RFB[0]_DATA[13]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[14]	0x08	ReadWrite	
CANFD.RFB[0]_DATA[15]	0xa0	ReadWrite	
CANFD.RFB[0]_DATA[16]	0x82	ReadWrite	
CANFD.RFB[0]_DATA[17]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[18]	0x48	ReadWrite	
CANFD.RFB[0]_DATA[19]	0xa0	ReadWrite	
CANFD.RFB[0]_DATA[20]	0x02	ReadWrite	
CANFD.RFB[0]_DATA[21]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[22]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[23]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[24]	0x02	ReadWrite	
CANFD.RFB[0]_DATA[25]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[26]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[27]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[28]	0x8a	ReadWrite	
CANFD.RFB[0]_DATA[29]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[30]	0x28	ReadWrite	
CANFD.RFB[0]_DATA[31]	0xa0	ReadWrite	
CANFD.RFB[0]_DATA[32]	0x0a	ReadWrite	
CANFD.RFB[0]_DATA[33]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[34]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[35]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[36]	0x02	ReadWrite	
CANFD.RFB[0]_DATA[37]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[38]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[39]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[40]	0x02	ReadWrite	
CANFD.RFB[0]_DATA[41]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[42]	0x08	ReadWrite	
CANFD.RFB[0]_DATA[43]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[44]	0x8a	ReadWrite	
CANFD.RFB[0]_DATA[45]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[46]	0x28	ReadWrite	
CANFD.RFB[0]_DATA[47]	0xa0	ReadWrite	
CANFD.RFB[0]_DATA[48]	0x82	ReadWrite	
CANFD.RFB[0]_DATA[49]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[50]	0x28	ReadWrite	
CANFD.RFB[0]_DATA[51]	0xa0	ReadWrite	
CANFD.RFB[0]_DATA[52]	0x02	ReadWrite	
CANFD.RFB[0]_DATA[53]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[54]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[55]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[56]	0x0a	ReadWrite	
CANFD.RFB[0]_DATA[57]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[58]	0x28	ReadWrite	
CANFD.RFB[0]_DATA[59]	0x00	ReadWrite	
CANFD.RFB[0]_DATA[60]	0x8e	ReadWrite	
CANFD.RFB[0]_DATA[61]	0x20	ReadWrite	
CANFD.RFB[0]_DATA[62]	0x28	ReadWrite	
CANFD.RFB[0]_DATA[63]	0xa0	ReadWrite	
CANFD.RFB[1]_HF0	0x0000'0002	ReadWrite	
CANFD.RFB[1]_HF1	0x8028'2002	ReadWrite	
CANFD.RFB[1]_HF2	0xa028'208e	ReadWrite	
CANFD.RFB[1]_DF[0]	0x2000'200a	ReadWrite	
CANFD.RFB[1]_DF[1]	0x0000'2000	ReadWrite	
CANFD.RFB[1]_DF[2]	0x2008'2002	ReadWrite	
CANFD.RFB[1]_DF[3]	0xa008'208a	ReadWrite	
CANFD.RFB[1]_DF[4]	0x6028'2082	ReadWrite	
CANFD.RFB[1]_DF[5]	0x0000'0002	ReadWrite	
CANFD.RFB[1]_DF[6]	0x2008'2002	ReadWrite	
CANFD.RFB[1]_DF[7]	0xa4a8'209a	ReadWrite	
CANFD.RFB[1]_DF[8]	0x2000'000a	ReadWrite	
CANFD.RFB[1]_DF[9]	0x0000'0002	ReadWrite	
CANFD.RFB[1]_DF[10]	0x2000'2002	ReadWrite	
CANFD.RFB[1]_DF[11]	0xa000'208a	ReadWrite	
CANFD.RFB[1]_DF[12]	0xa048'2082	ReadWrite	
CANFD.RFB[1]_DF[13]	0x0000'0002	ReadWrite	
CANFD.RFB[1]_DF[14]	0x2028'200a	ReadWrite	
CANFD.RFB[1]_DF[15]	0xa028'208e	ReadWrite	
CANFD.RFB[1]_DATA[0]	0x02	ReadWrite	
CANFD.RFB[1]_DATA[1]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[2]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[3]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[4]	0x02	ReadWrite	
CANFD.RFB[1]_DATA[5]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[6]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[7]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[8]	0x02	ReadWrite	
CANFD.RFB[1]_DATA[9]	0x21	ReadWrite	
CANFD.RFB[1]_DATA[10]	0x18	ReadWrite	
CANFD.RFB[1]_DATA[11]	0x20	ReadWrite	
CANFD.RFB[1]_DATA[12]	0x8a	ReadWrite	
CANFD.RFB[1]_DATA[13]	0x20	ReadWrite	
CANFD.RFB[1]_DATA[14]	0x28	ReadWrite	
CANFD.RFB[1]_DATA[15]	0xa0	ReadWrite	
CANFD.RFB[1]_DATA[16]	0x82	ReadWrite	
CANFD.RFB[1]_DATA[17]	0x20	ReadWrite	
CANFD.RFB[1]_DATA[18]	0x48	ReadWrite	
CANFD.RFB[1]_DATA[19]	0xa0	ReadWrite	
CANFD.RFB[1]_DATA[20]	0x02	ReadWrite	
CANFD.RFB[1]_DATA[21]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[22]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[23]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[24]	0x0a	ReadWrite	
CANFD.RFB[1]_DATA[25]	0x20	ReadWrite	
CANFD.RFB[1]_DATA[26]	0x28	ReadWrite	
CANFD.RFB[1]_DATA[27]	0xa0	ReadWrite	
CANFD.RFB[1]_DATA[28]	0x8e	ReadWrite	
CANFD.RFB[1]_DATA[29]	0x20	ReadWrite	
CANFD.RFB[1]_DATA[30]	0xac	ReadWrite	
CANFD.RFB[1]_DATA[31]	0xa4	ReadWrite	
CANFD.RFB[1]_DATA[32]	0x0e	ReadWrite	
CANFD.RFB[1]_DATA[33]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[34]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[35]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[36]	0x02	ReadWrite	
CANFD.RFB[1]_DATA[37]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[38]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[39]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[40]	0x02	ReadWrite	
CANFD.RFB[1]_DATA[41]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[42]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[43]	0x20	ReadWrite	
CANFD.RFB[1]_DATA[44]	0x8e	ReadWrite	
CANFD.RFB[1]_DATA[45]	0x20	ReadWrite	
CANFD.RFB[1]_DATA[46]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[47]	0xa0	ReadWrite	
CANFD.RFB[1]_DATA[48]	0x82	ReadWrite	
CANFD.RFB[1]_DATA[49]	0x20	ReadWrite	
CANFD.RFB[1]_DATA[50]	0x28	ReadWrite	
CANFD.RFB[1]_DATA[51]	0xa0	ReadWrite	
CANFD.RFB[1]_DATA[52]	0x02	ReadWrite	
CANFD.RFB[1]_DATA[53]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[54]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[55]	0x00	ReadWrite	
CANFD.RFB[1]_DATA[56]	0x82	ReadWrite	
CANFD.RFB[1]_DATA[57]	0x20	ReadWrite	
CANFD.RFB[1]_DATA[58]	0x28	ReadWrite	
